feature,coef
OR4D1,0.4924973
LOC100128640,-0.33061433
AMTN,0.29924214
CHST13,0.25283542
BTNL3,0.24808352
LOC127841,-0.23693764
PPFIA3,-0.23108524
SPINT1,0.22488973
WNT5B,0.22032157
CYP3A4,-0.2185808
LACRT,0.21070059
MAP2K6,-0.20121183
ERAP2,-0.19117342
FBXL18,0.1845693
FKSG83,0.184362
LRRC3,0.1813006
LOC284009,-0.18107913
LOC100130238,0.16862151
SI,0.1618565
LY6H,0.16056028
TNFSF11,-0.15949742
AMH,0.15829775
RBM3,-0.15815364
MS4A8B,-0.15805782
ARID4A,0.15782279
GLRA2,0.15559754
NUP35,-0.15223157
OPN4,0.15035024
CHAD,-0.15032756
C9orf172,0.14888558
?|391343,-0.14121921
ZNF642,-0.13726763
CD163L1,0.13459593
EXOC6,0.13456658
HNRNPA1L2,-0.13098018
SLC23A1,-0.12805349
KIAA1586,-0.124792635
ZNF257,-0.12265901
FGF8,0.12245929
SALL2,0.12239959
